"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 30 13:00:08 IST 2026","Tue Jun 30 13:00:12 IST 2026","4349","Surefire suite","Surefire test","com.demo.tests.PlaywrightFormFlowTest","com.demo.tests.PlaywrightFormFlowTest","fillDataEntryForm","fillDataEntryForm",""
"passed","Mon Jul 01 13:16:40 IST 2024","Mon Jul 01 13:17:24 IST 2024","44780","","PlaywrightFormFlowTest","","com.demo.tests.PlaywrightFormFlowTest","","fillDataEntryForm",""
